run,arch_type,num_registers,use_cnn_stem,head_type,swa,data_mode,dim,depth,params,epochs,best_epoch,best_val_cer,best_val_wer,best_test_cer,best_test_wer,last_val_cer,last_val_wer,last_test_cer,last_test_wer
run_193,vit_rgts,0,True,both,True,synthetic,256,6,9470552,10,2,0.007889392431131981,0.026441994363715634,0.30634657655588726,0.6464069330470128,0.7765612717434129,1.0510703996188542,0.7987762868672288,1.0596288058900223
run_104,vit_rgts,2,True,both,True,iam,256,6,9476704,80,64,0.04326012641105728,0.14865465866132976,0.06235851842131164,0.20438683948155534,0.2221539066919161,0.5564820991772292,0.23586824579246088,0.571631260065956
run_105,vit_rgts,2,True,both,False,iam,256,6,9476704,80,76,0.041784510956444754,0.14442961974649768,0.06068534496899708,0.1966791931896618,0.04212882122918767,0.14487436068490103,0.061054427348184115,0.19825139964721222
run_148,vit_rgts,2,True,both,False,iam,256,6,9476704,150,147,0.041317232729150784,0.14565265732710697,0.0597913454282996,0.19387989876524273,0.04171073018371412,0.14631976873471203,0.060217840622026834,0.1945317892476417
run_149,vit_rgts,2,True,both,True,iam,256,6,9476704,150,112,0.040505644229113895,0.1425394707582833,0.06157114267904596,0.20039880358923232,0.8249674134920439,0.9474093840338003,0.7829549555460779,0.9407930055985888
run_194,vit_rgts,2,True,both,False,synthetic,256,6,9471576,11,2,0.008027861260894309,0.027042029421943753,0.3014910928119156,0.630416442978756,0.7681489334569243,1.0502456323290799,0.7896968603392277,1.0545287215277246
run_196,vit_rgts,2,True,both,True,synthetic,256,6,9471576,10,2,0.008164902576947746,0.027021803521104604,0.31704176372166265,0.6485159904900683,0.7706413723926462,1.050461375271364,0.7917473180013779,1.0587851829128
run_109,vit_rgts,4,True,both,True,iam,256,6,9477728,80,65,0.04232556995646934,0.14620858350011118,0.06239132574390604,0.20093565457473733,0.05204003836600182,0.18067600622637314,0.07018306486007676,0.22954214280236215
run_111,vit_rgts,4,True,rnn,False,iam,256,6,9416208,80,80,0.048670716411303216,0.1694462975316878,0.06811620353662938,0.21949536007362527,0.048670716411303216,0.1694462975316878,0.06811620353662938,0.21949536007362527
run_114,vit_rgts,4,True,cnn,False,iam,256,6,5229072,80,79,0.06908339686677652,0.24649766511007337,0.09954561858206752,0.3232609862719534,0.06972283023044194,0.24994440738269957,0.10004593025163216,0.3247564997315745
run_118,vit_rgts,4,True,both,False,iam,256,6,9477728,80,79,0.04212882122918767,0.1479875472537247,0.061726977461369376,0.2000536850985505,0.04298959691104498,0.15032243718034244,0.0619730323808274,0.20028376409233836
run_126,vit_rgts,4,False,both,False,iam,256,6,9249696,80,34,0.7248960920784043,1.221592172559484,0.7243692792231226,1.256614771071401,0.7604092373527459,1.001445408049811,0.760949443915882,1.001725592453409
run_127,vit_rgts,4,True,both,False,iam,256,6,8426080,80,79,0.045793266274808786,0.16310873915943963,0.06851809323841081,0.22559245340900375,0.04677700991121714,0.16555481432065822,0.06860011154489683,0.22543906741314518
run_128,vit_rgts,4,True,both,False,iam,256,6,9477728,80,74,0.04576867268389857,0.158550144540805,0.06496670056756668,0.20891172635938338,0.04601460859300066,0.1573271069601957,0.0650979298579443,0.20998542833039344
run_129,vit_rgts,4,True,both,False,iam,256,4,7898208,80,75,0.039841617274538256,0.14064932177006895,0.06137429874347954,0.19794462765549506,0.04048105063820368,0.14309539693128753,0.06176798661461238,0.19967022010890406
run_130,vit_rgts,4,True,both,False,iam,256,8,11057248,80,75,0.041538575047342666,0.1465421392039137,0.060406482726944655,0.19683257918552036,0.041932072501906004,0.14687569490771626,0.060406482726944655,0.19717769767620216
run_131,vit_rgts,4,True,both,False,iam,128,6,5468640,80,78,0.042546912274661224,0.14809873248832556,0.06204684885666481,0.20342817700743923,0.04301419050195519,0.14976651100733823,0.06276040812309308,0.20588235294117646
run_132,vit_rgts,4,True,both,False,iam,512,6,36686688,80,78,0.04424387004746563,0.14965532577273738,0.06458941635773105,0.20676432241736328,0.044612773911118765,0.15221258616855682,0.06482726944654046,0.20791471738630263
run_133,vit_rgts,4,True,both,False,iam,256,6,6323808,80,78,0.04714591377487027,0.17033577940849456,0.06923165250483908,0.22988726129304393,0.04749022404761319,0.17222592839670892,0.06929726715002789,0.2311526957588772
run_134,vit_rgts,4,True,both,False,iam,256,6,9477728,80,67,0.04982661518408303,0.17400489215032244,0.06984678980348413,0.2241736329473119,0.050515235729568876,0.17333778074271736,0.06937108362586529,0.2218344965104686
run_135,vit_rgts,4,True,both,False,iam,256,6,9477728,120,116,0.04011214677455055,0.14142761841227486,0.058798923919818905,0.19269115729733877,0.040235114729101594,0.14164998888147654,0.05864308913749549,0.192230999309763
run_136,vit_rgts,4,True,both,False,iam,256,6,9477728,80,78,0.04252231868375102,0.14832110295752723,0.061292280436993536,0.19963187360993942,0.04252231868375102,0.14887702913053147,0.06181719759850399,0.20105069407163126
run_137,vit_rgts,4,True,both,True,iam,256,6,9477728,120,92,0.04237475713828976,0.15276851234156105,0.06075916144483449,0.19886494363064652,0.3036324733774378,0.6447631754503002,0.29344509694563825,0.6406166117033515
run_139,vit_rgts,4,False,rnn,False,iam,128,4,1310928,80,24,0.8177368977644426,1.001445408049811,0.81787835044782,1.001303780964798,0.877032045448956,1.0,0.8768085036580164,0.9999616535010354
run_141,vit_rgts,4,True,both,False,iam,256,6,9477728,80,80,0.04087454809276703,0.14098287747387148,0.059971785702568815,0.19775289516067182,0.04087454809276703,0.14098287747387148,0.059971785702568815,0.19775289516067182
run_146,vit_rgts,4,True,both,False,iam,256,6,9477728,150,137,0.040308895501832226,0.14220591505448077,0.05962730881532758,0.19330470128077307,0.04077617372912619,0.14120524794307315,0.059537088678192976,0.1933430477797377
run_150,vit_rgts,4,True,both,True,iam,256,6,9477728,150,138,0.03971864931998721,0.1373137647320436,0.0577244841048522,0.19054375335531865,0.04424387004746563,0.1518790304647543,0.0630474721957941,0.203236444512616
run_157,vit_rgts,4,False,both,False,iam,256,6,9249696,150,58,0.7337005976242591,1.10395819435179,0.7335553295495555,1.1288442365212057,0.7400949312609134,1.0625972870802758,0.740715527705784,1.0709026765856278
run_158,vit_rgts,4,True,rnn,False,iam,256,6,9416208,150,144,0.0497528344113524,0.1680008894818768,0.07069157836029001,0.22455709793695836,0.050244706229556575,0.1692239270624861,0.07074078934418163,0.2258992254007209
run_159,vit_rgts,4,True,cnn,False,iam,256,6,5229072,150,149,0.06672241213939648,0.23704692016900156,0.09465732751550146,0.3076156146943784,0.06738643909397211,0.23804758728040917,0.09542829959646994,0.30991640463225706
run_160,vit_rgts,4,True,both,False,iam,256,6,8426080,150,140,0.04812965741127862,0.17111407605070048,0.07133952298152947,0.23214970473195798,0.048818277956764466,0.17244829886591062,0.07179062366720251,0.23272490221642764
run_161,vit_rgts,4,True,both,False,iam,256,6,9477728,150,145,0.04382577900199208,0.15098954858794753,0.0629818575506053,0.20373494899915637,0.04397334054745333,0.15154547476095176,0.06282602276828188,0.20300636551882814
run_162,vit_rgts,4,True,both,False,iam,256,4,7898208,150,133,0.0391284031381422,0.13631309762063598,0.059323841081329355,0.19303627578802054,0.039571087774525955,0.13720257949744274,0.05843804337128047,0.19054375335531865
run_163,vit_rgts,4,True,both,False,iam,128,6,5468640,150,145,0.040702392956395564,0.14431843451189683,0.059258226436140544,0.1924610783035509,0.04082536091094661,0.14387369357349344,0.05916800629900594,0.1925761178004448
run_164,vit_rgts,4,True,both,False,iam,256,6,6323808,150,149,0.04515383291114335,0.16488770291305316,0.06796036875430596,0.22463379093488764,0.04567029832025774,0.16566599955525907,0.06810800170598078,0.22609095789554415
run_165,vit_rgts,4,False,rnn,False,iam,128,4,1310928,150,107,0.7356434913061656,1.0929508561263064,0.7364669794298088,1.1202546207531252,0.7459482058975431,1.0570380253502334,0.7459893048128342,1.0689470051384309
run_167,vit_rgts,4,True,both,False,iam,256,6,9477728,150,140,0.046457293229384425,0.16166333110962863,0.06677930514090745,0.21370503872996396,0.046604854774845675,0.16244162775183454,0.06639381910042322,0.21059897231382774
run_168,vit_rgts,4,True,both,False,iam,256,6,9477728,150,137,0.04011214677455055,0.14320658216588836,0.05811817197598504,0.1909272183449651,0.04043186345638327,0.1439848788080943,0.058200190282471045,0.19042871385842472
run_169,vit_rgts,4,True,both,False,iam,256,6,9477728,150,142,0.03883328004721969,0.13564598621303092,0.05546898067648699,0.18260602806963724,0.039005435183591154,0.13675783855903936,0.055821659394376826,0.1831812255541069
run_170,vit_rgts,4,True,both,False,iam,256,6,9477728,150,138,0.03981702368362804,0.1380920613742495,0.057650667629014794,0.18854973540915715,0.04013674036546076,0.14020458083166557,0.057527640169285785,0.187054221949536
run_171,vit_rgts,4,True,both,False,iam,256,6,9477728,150,139,0.039571087774525955,0.139871025127863,0.058397034218037464,0.1908505253470358,0.039571087774525955,0.1400933955970647,0.05865949279879269,0.1920392668149398
run_175,vit_rgts,4,True,both,False,iam,256,8,11057248,150,145,0.04072698654730577,0.1439848788080943,0.05785571339522982,0.19004524886877827,0.04119426477459974,0.14498554591950188,0.05804435550014763,0.1898918628729197
run_176,vit_rgts,4,True,both,True,iam,256,6,9477728,150,78,0.04380118541108187,0.1526573271069602,0.06373642597027657,0.2070327479101158,0.48619069870391773,0.8799199466310874,0.47676421377251404,0.8691233990336682
run_179,vit_rgts,4,True,both,False,iam,512,6,36686688,150,129,0.045990015002090455,0.15621525461418723,0.06573767264853515,0.20848991487077229,0.04687538427485797,0.1581054036024016,0.06504051704340409,0.20776133139044406
