reference,comparison,ref_label,comp_label,ref_cer,comp_cer,delta,ci_lower,ci_upper,p_value,significance
run_107,run_105,CNN-RNN SWA,ViT-RGTS R2,0.04915521206955241,0.061701867306278295,0.012546655236725879,0.010647262007253555,0.014407131652127127,0.0,***
run_107,run_115,CNN-RNN SWA,CNN-RNN,0.04915521206955241,0.050560007303348364,0.001404795233795949,0.00018089190584040545,0.0026226048084626624,0.0268,*
run_107,run_116,CNN-RNN SWA,ViT-RGTS R0,0.04915521206955241,0.06106714697626914,0.011911934906716725,0.010031152706033653,0.013808253969047403,0.0,***
run_107,run_118,CNN-RNN SWA,ViT-RGTS R4,0.04915521206955241,0.06300325234591928,0.013848040276366864,0.01196350674411054,0.01577023347801669,0.0,***
run_107,run_121,CNN-RNN SWA,ViT-B/16 R0,0.04915521206955241,0.12398945283210977,0.07483424076255736,0.07202196551606155,0.07763858989504818,0.0,***
run_107,run_122,CNN-RNN SWA,ViT-RGTS R16,0.04915521206955241,0.06142098708705019,0.012265775017497784,0.010522631893875497,0.014060790866510766,0.0,***
run_107,run_123,CNN-RNN SWA,ViT-RGTS R8,0.04915521206955241,0.059841901413253094,0.010686689343700678,0.008858104622269042,0.01249587138542187,0.0,***
run_107,run_135,CNN-RNN SWA,ViT-RGTS R4 120ep,0.04915521206955241,0.0596085063216218,0.010453294252069386,0.008627742383463753,0.012314457087010405,0.0,***
run_107,run_142,CNN-RNN SWA,HTR-VT R4,0.04915521206955241,0.05528301351687139,0.013949204721134085,0.007786781628550592,0.020498346104433497,0.0,***
